Start Time,Period (min),NE Name,Cell,L.RA.TA.UE.Index0 (None),L.RA.GrpA.Att (None),L.RA.GrpA.Resp (None),L.RA.GrpA.ContResolution (None),L.RA.GrpB.Att (None),L.RA.GrpB.Resp (None),L.RA.GrpB.ContResolution (None),L.RRC.ConnReq.Msg (None),L.RRC.ConnReq.Att (None),L.RRC.ConnReq.Att.Emc (None),L.RRC.ConnReq.Att.HighPri (None),L.RRC.ConnReq.Att.Mt (None),L.RRC.ConnReq.Att.MoSig (None),L.RRC.ConnReq.Att.MoData (None),L.RRC.ConnSetup (None),L.RRC.ConnReq.Succ (None),L.RRC.ConnReq.Succ.Emc (None),L.RRC.ConnReq.Succ.HighPri (None),L.RRC.ConnReq.Succ.Mt (None),L.RRC.ConnReq.Succ.MoSig (None),L.RRC.ConnReq.Succ.MoData (None),L.RRC.ConnReq.Att.DelayTol (None),L.RRC.ConnReq.Succ.DelayTol (None),L.RRC.ConnSetup.TimeAvg (ms),L.RRC.ConnReq.Msg.disc.FlowCtrl (None),L.RRC.ConnReq.Msg.disc.Illegal (None),L.RRC.SetupFail.NoReply (None),L.RRC.SetupFail.Rej (None),L.RRC.SetupFail.Rej.FlowCtrl (None),L.RRC.SetupFail.Rej.ForbidAc (None),L.RRC.SetupFail.Rej.MMEOverload (None),L.RRC.SetupFail.Rej.Other (None),L.RRC.SetupFail.ResFail (None),L.RRC.SetupFail.ResFail.CellBarred (None),L.RRC.SetupFail.ResFail.Other (None),L.RRC.SetupFail.ResFail.PUCCH (None),L.RRC.SetupFail.ResFail.SRS (None),L.RRC.SetupFail.ResFail.UserSpec (None),L.RRC.ConnReq.Max (None),L.S1Sig.ConnEst.Att (None),L.S1Sig.ConnEst.Succ (None),L.E-RAB.InitAttEst (None),L.E-RAB.InitSuccEst (None),L.E-RAB.SuccEst (None),L.E-RAB.AttEst (None),L.E-RAB.FailEst.MME (None),L.E-RAB.FailEst.TNL (None),L.E-RAB.FailEst.RNL (None),L.E-RAB.FailEst.X2AP (None),L.E-RAB.FailEst.Other (None),L.E-RAB.AbnormRel (None),L.E-RAB.NormRel (None),L.E-RAB.AbnormRel.Radio (None),L.E-RAB.AbnormRel.TNL (None),L.E-RAB.AbnormRel.Cong (None),L.E-RAB.AbnormRel.HOFailure (None),L.E-RAB.AbnormRel.MME (None),L.RA.TA.UE.Index1 (None),L.RA.TA.UE.Index10 (None),L.RA.TA.UE.Index11 (None),L.RA.TA.UE.Index2 (None),L.RA.TA.UE.Index3 (None),L.RA.TA.UE.Index4 (None),L.RA.TA.UE.Index5 (None),L.RA.TA.UE.Index6 (None),L.RA.TA.UE.Index7 (None),L.RA.TA.UE.Index8 (None),L.RA.TA.UE.Index9 (None),L.ChMeas.CQI.DL.0 (None),L.ChMeas.CQI.DL.1 (None),L.ChMeas.CQI.DL.10 (None),L.ChMeas.CQI.DL.11 (None),L.ChMeas.CQI.DL.12 (None),L.ChMeas.CQI.DL.13 (None),L.ChMeas.CQI.DL.14 (None),L.ChMeas.CQI.DL.15 (None),L.ChMeas.CQI.DL.2 (None),L.ChMeas.CQI.DL.3 (None),L.ChMeas.CQI.DL.4 (None),L.ChMeas.CQI.DL.5 (None),L.ChMeas.CQI.DL.6 (None),L.ChMeas.CQI.DL.7 (None),L.ChMeas.CQI.DL.8 (None),L.ChMeas.CQI.DL.9 (None),L.UL.Interference.Avg (dBm),L.UL.Interference.Max (dBm),L.UL.Interference.Min (dBm),L.Cell.Avail.Dur (s),L.Cell.Unavail.Dur.Sys (s),L.Cell.Unavail.Dur.Manual (s),L.Cell.Unavail.Dur.EnergySaving (s),L.Cell.Unavail.Dur.Sys.S1Fail (s),L.Traffic.User.Avg (None),L.Traffic.User.Max (None)
7/13/2021 0:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,1424,1424,422,0,0,0,414,414,0,0,133,108,173,414,410,0,0,133,104,173,0,0,86,0,NIL,4,0,0,0,0,0,0,0,0,0,0,0,2,410,410,574,571,624,627,3,0,0,0,0,1,1103,1,0,0,0,0,0,0,0,41,4,42,115,565,30,0,0,8660,2628,605469,135083,46819,37882,18096,182762,3886,21482,89505,207932,155493,90350,97702,312811,-121,-105,-122,3600,0,0,0,0,7.799,15
7/13/2021 1:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,533,533,328,6,6,0,322,322,0,0,83,81,158,322,321,0,0,82,81,158,0,0,60,0,NIL,1,0,0,0,0,0,0,0,0,0,0,0,2,321,321,418,418,473,473,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,50,0,10,88,489,38,0,0,5218,2009,174452,144710,50901,33454,11955,166690,2543,9729,29075,63503,143961,495198,87836,107249,-121,-105,-123,3600,0,0,0,0,5.847,13
7/13/2021 2:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,1456,1456,357,1,1,1,351,351,0,0,109,97,145,351,351,0,0,109,97,145,0,0,43,0,NIL,0,0,0,0,0,0,0,0,0,0,0,0,3,351,351,434,433,485,486,1,0,0,0,0,0,802,0,0,0,0,0,0,0,0,94,2,11,104,413,13,0,0,1934,987,58124,58138,52362,38542,18227,65234,1474,2392,9558,47857,69064,217408,61175,43119,-121,-107,-123,3600,0,0,0,0,3.858,10
7/13/2021 3:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,1077,1077,375,0,0,0,368,368,0,0,89,90,189,368,368,0,0,89,90,189,0,0,32,0,NIL,0,0,0,0,0,0,0,0,0,0,0,0,3,368,368,468,468,515,515,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,100,0,29,114,392,18,0,0,2652,2315,34845,33264,23472,27669,14959,38660,896,2636,8152,44416,84349,50358,36575,39165,-121,-103,-122,3600,0,0,0,0,3.316,9
7/13/2021 4:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,1669,1669,457,7,7,2,409,409,0,0,113,117,179,409,409,0,0,113,117,179,0,0,41,0,NIL,0,0,0,0,0,0,0,0,0,0,0,0,3,409,405,498,498,558,558,0,0,0,0,0,2,833,2,0,0,0,0,0,0,0,82,2,19,117,450,66,0,0,2564,1519,60595,65683,74906,63160,28992,120388,1541,3435,13164,52945,55113,69963,85954,55801,-121,-108,-122,3600,0,0,0,0,3.973,9
7/13/2021 5:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,3453,3452,489,3,3,1,460,457,0,0,125,171,161,457,450,0,0,125,168,157,0,0,71,0,NIL,7,0,0,0,0,0,0,0,0,0,0,0,3,450,450,444,438,513,519,6,0,0,0,0,3,930,3,0,0,0,0,0,0,0,59,1,8,108,741,43,0,0,8982,4065,74049,73246,87597,53819,26767,163245,3543,11997,22568,44254,79180,100404,112821,75390,-121,-103,-123,3600,0,0,0,0,4.952,14
7/13/2021 6:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,2760,2760,1030,23,23,0,976,976,0,0,269,396,311,976,976,0,0,269,396,311,0,0,62,0,NIL,0,0,0,0,0,0,0,0,0,0,0,0,4,976,974,915,908,1123,1130,7,0,0,0,0,6,1694,6,0,0,0,0,0,0,0,75,1,47,244,1502,64,0,0,10384,6674,171215,180537,144765,75696,52264,94371,9530,27965,48326,68864,127874,168348,151330,164792,-120,-95,-122,3600,0,0,0,0,8.009,20
7/13/2021 7:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,3112,3112,1568,47,47,3,1476,1475,0,0,436,612,427,1475,1474,0,0,436,611,427,0,0,59,0,NIL,1,0,0,0,0,0,0,0,0,0,0,0,5,1474,1474,1364,1350,1670,1684,14,0,0,0,0,9,2587,9,0,0,0,0,0,0,0,96,19,93,360,2624,123,0,0,22296,20118,275353,258147,181089,110023,70373,110261,23792,59560,110161,192306,245432,289963,320547,283204,-120,-101,-123,3600,0,0,0,0,12.203,25
7/13/2021 8:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",0,2870,2870,1400,82,82,14,1328,1326,0,0,373,547,406,1326,1325,0,0,373,546,406,0,0,100,0,NIL,1,0,0,0,0,0,0,0,0,0,0,0,5,1325,1324,1245,1224,1528,1549,21,0,0,0,0,17,2639,17,0,0,0,0,0,0,0,95,45,85,314,2652,119,0,0,21536,22575,278326,217283,193580,124451,63947,125832,25552,63367,102108,171719,250950,281259,318031,318378,-120,-63,-124,3600,0,0,0,0,12.584,28
7/13/2021 9:00,60,SR-eNB04,"eNodeB Function Name=4G-eNB04, Local Cell ID=17, Cell Name=4C-eNB04-08-A, eNodeB ID=9299999, Cell FDD TDD indication=CELL_FDD",59,2601,2601,1549,183,183,87,1485,1482,0,0,435,674,373,1482,1475,0,0,434,668,373,0,0,230,0,NIL,7,0,0,0,0,0,0,0,0,0,0,0,4,1475,1475,1414,1386,1708,1737,28,0,1,0,0,24,2945,24,0,0,0,0,3,0,0,75,52,273,261,3029,109,0,0,23735,23329,300481,220523,164957,118898,71211,289416,29644,105959,188504,191509,203588,262068,288937,283900,-120,-93,-124,3600,0,0,0,0,15.57,28
